ძიძა,Babysitter,Няня,1
გუვერნანტი,Governess,Гувернантка,1
რეპეტიტორი,Tutor,Репетитор,1
ოჯახში დამხმარე,Helper in the family,Домработница,1
ავადმყოფის მომვლელი,Caregiver of the sick,Сиделька,1
დამლაგებელი,Cleaner,Уборшица,1
მძღოლი,Driver,Водитель,1
ოჯახური წყვილი,Family couple,Семейная пара,2
საბავშვო ბაღის აღმზრდელი,Kindergarten teacher,Воспитательница детского сада,2
მზარეული,Cook,Повар,2
მზარეულის დამხმარე,Cook's assistant,Помощник повара,2
მცხობელი,Baker,Пекарь,2
კონდიტერი,Confectioner,Кондитер,2
დასაქმება საზღვარგარეთ,Employment abroad,Работа за границей,2
დაცვის თანამშრომლები,Security guards,Охранники,2
ჭურჭლის მრეცხავები,Dishwashers,Посудомойшици,2
ჰოსტესი,Hostess,Хостес,2
ადმინისტრატორი,Administrator,Администратор,2
მენეჯერი,Manager,Менеджер,2
მოლარე-ოპერატორი,Cashier,Кассырша,2
კონსულტანტი,Consultant,Консультант,2
სომელიე,Sommelier,Сомелье,2
HR-კადრების შერჩევის სპეციალისტი,  ,HR-Специалист по подбору персонала,2
სხვადასხვა...,Various...,Разнорабочие…,2







